Id,Title,Category,Diagram,Interaction,Priority,State,Changed By,Description,Justification,Last Modified
97,Cross Site Request Forgery,Elevation Of Privilege,Azure Web App,HTTPS GET/POST TLS 1.2+,High,Not Started,,"Cross-site request forgery (CSRF or XSRF) is a type of attack in which an attacker forces a user's browser to make a forged request to a vulnerable site by exploiting an existing trust relationship between the browser and the vulnerable web site.  In a simple scenario, a user is logged in to web site A using a cookie as a credential.  The other browses to web site B.  Web site B returns a page with a hidden form that posts to web site A.  Since the browser will carry the user's cookie to web site A, web site B now can take any action on web site A, for example, adding an admin to an account.  The attack can be used to exploit any requests that the browser automatically authenticates, e.g. by session cookie, integrated authentication, IP whitelisting. The attack can be carried out in many ways such as by luring the victim to a site under control of the attacker, getting the user to click a link in a phishing email, or hacking a reputable web site that the victim will visit. The issue can only be resolved on the server side by requiring that all authenticated state-changing requests include an additional piece of secret payload (canary or CSRF token) which is known only to the legitimate web site and the browser and which is protected in transit through SSL/TLS. See the Forgery Protection property on the flow stencil for a list of mitigations.",,Generated
96,Elevation by Changing the Execution Flow in Azure Front Door (WAF),Elevation Of Privilege,Azure Web App,HTTPS GET/POST TLS 1.2+,High,Not Started,,An attacker may pass data into Azure Front Door (WAF) in order to change the flow of program execution within Azure Front Door (WAF) to the attacker's choosing.,,Generated
95,Azure Front Door (WAF) May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Azure Web App,HTTPS GET/POST TLS 1.2+,High,Not Started,,External User may be able to remotely execute code for Azure Front Door (WAF).,,Generated
94,Elevation Using Impersonation,Elevation Of Privilege,Azure Web App,HTTPS GET/POST TLS 1.2+,High,Not Started,,Azure Front Door (WAF) may be able to impersonate the context of External User in order to gain additional privilege.,,Generated
93,Data Flow HTTPS GET/POST TLS 1.2+ Is Potentially Interrupted,Denial Of Service,Azure Web App,HTTPS GET/POST TLS 1.2+,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
92,Potential Process Crash or Stop for Azure Front Door (WAF),Denial Of Service,Azure Web App,HTTPS GET/POST TLS 1.2+,High,Not Started,,"Azure Front Door (WAF) crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
91,Data Flow Sniffing,Information Disclosure,Azure Web App,HTTPS GET/POST TLS 1.2+,High,Not Started,,"Data flowing across HTTPS GET/POST TLS 1.2+ may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
90,Potential Data Repudiation by Azure Front Door (WAF),Repudiation,Azure Web App,HTTPS GET/POST TLS 1.2+,High,Not Started,,"Azure Front Door (WAF) claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
89,Cross Site Scripting,Tampering,Azure Web App,HTTPS GET/POST TLS 1.2+,High,Not Started,,The web server 'Azure Front Door (WAF)' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
88,Potential Lack of Input Validation for Azure Front Door (WAF),Tampering,Azure Web App,HTTPS GET/POST TLS 1.2+,High,Not Started,,Data flowing across HTTPS GET/POST TLS 1.2+ may be tampered with by an attacker. This may lead to a denial of service attack against Azure Front Door (WAF) or an elevation of privilege attack against Azure Front Door (WAF) or an information disclosure by Azure Front Door (WAF). Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,,Generated
87,Spoofing the External User External Entity,Spoofing,Azure Web App,HTTPS GET/POST TLS 1.2+,High,Not Started,,External User may be spoofed by an attacker and this may lead to unauthorized access to Azure Front Door (WAF). Consider using a standard authentication mechanism to identify the external entity.,,Generated
86,Spoofing the Azure Front Door (WAF) Process,Spoofing,Azure Web App,HTTPS GET/POST TLS 1.2+,High,Not Started,,Azure Front Door (WAF) may be spoofed by an attacker and this may lead to information disclosure by External User. Consider using a standard authentication mechanism to identify the destination process.,,Generated
12,Azure Front Door (WAF) Process Memory Tampered,Tampering,Azure Web App,HTTPS TLS 1.2+,High,Not Started,,"If Azure Front Door (WAF) is given access to memory, such as shared memory or pointers, or is given the ability to control what Azure API Management executes (for example, passing back a function pointer.), then Azure Front Door (WAF) can tamper with Azure API Management. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
13,Elevation Using Impersonation,Elevation Of Privilege,Azure Web App,HTTPS TLS 1.2+,High,Not Started,,Azure API Management may be able to impersonate the context of Azure Front Door (WAF) in order to gain additional privilege.,,Generated
14,Azure API Management Process Memory Tampered,Tampering,Azure Web App,HTTPS TLS 1.2+,High,Not Started,,"If Azure API Management is given access to memory, such as shared memory or pointers, or is given the ability to control what Azure App Service Web App Backend executes (for example, passing back a function pointer.), then Azure API Management can tamper with Azure App Service Web App Backend. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
15,Cross Site Scripting,Tampering,Azure Web App,HTTPS TLS 1.2+,High,Not Started,,The web server 'Azure App Service Web App Backend' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.,,Generated
16,Elevation Using Impersonation,Elevation Of Privilege,Azure Web App,HTTPS TLS 1.2+,High,Not Started,,Azure App Service Web App Backend may be able to impersonate the context of Azure API Management in order to gain additional privilege.,,Generated
19,Spoofing of Destination Data Store Azure SQL Database,Spoofing,Azure Web App,TLS 1.2+,High,Not Started,,Azure SQL Database may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of Azure SQL Database. Consider using a standard authentication mechanism to identify the destination data store.,,Generated
20,Potential SQL Injection Vulnerability for Azure SQL Database,Tampering,Azure Web App,TLS 1.2+,High,Not Started,,SQL injection is an attack in which malicious code is inserted into strings that are later passed to an instance of SQL Server for parsing and execution. Any procedure that constructs SQL statements should be reviewed for injection vulnerabilities because SQL Server will execute all syntactically valid queries that it receives. Even parameterized data can be manipulated by a skilled and determined attacker.,,Generated
21,The Azure SQL Database Data Store Could Be Corrupted,Tampering,Azure Web App,TLS 1.2+,High,Not Started,,Data flowing across TLS 1.2+ may be tampered with by an attacker. This may lead to corruption of Azure SQL Database. Ensure the integrity of the data flow to the data store.,,Generated
22,Data Store Denies Azure SQL Database Potentially Writing Data,Repudiation,Azure Web App,TLS 1.2+,High,Not Started,,"Azure SQL Database claims that it did not write data received from an entity on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
23,Data Flow Sniffing,Information Disclosure,Azure Web App,TLS 1.2+,High,Not Started,,"Data flowing across TLS 1.2+ may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
24,Potential Excessive Resource Consumption for Azure App Service Web App Backend or Azure SQL Database,Denial Of Service,Azure Web App,TLS 1.2+,High,Not Started,,"Does Azure App Service Web App Backend or Azure SQL Database take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.",,Generated
25,Data Flow TLS 1.2+ Is Potentially Interrupted,Denial Of Service,Azure Web App,TLS 1.2+,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
26,Data Store Inaccessible,Denial Of Service,Azure Web App,TLS 1.2+,High,Not Started,,An external agent prevents access to a data store on the other side of the trust boundary.,,Generated
28,Spoofing of Destination Data Store Azure Key Vault,Spoofing,Azure Web App,Managed Identity - Get Secret,High,Not Started,,Azure Key Vault may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of Azure Key Vault. Consider using a standard authentication mechanism to identify the destination data store.,,Generated
29,The Azure Key Vault Data Store Could Be Corrupted,Tampering,Azure Web App,Managed Identity - Get Secret,High,Not Started,,Data flowing across Managed Identity - Get Secret may be tampered with by an attacker. This may lead to corruption of Azure Key Vault. Ensure the integrity of the data flow to the data store.,,Generated
30,Data Store Denies Azure Key Vault Potentially Writing Data,Repudiation,Azure Web App,Managed Identity - Get Secret,High,Not Started,,"Azure Key Vault claims that it did not write data received from an entity on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
31,Data Flow Sniffing,Information Disclosure,Azure Web App,Managed Identity - Get Secret,High,Not Started,,"Data flowing across Managed Identity - Get Secret may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
32,Potential Excessive Resource Consumption for Azure App Service Web App Backend or Azure Key Vault,Denial Of Service,Azure Web App,Managed Identity - Get Secret,High,Not Started,,"Does Azure App Service Web App Backend or Azure Key Vault take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.",,Generated
33,Data Flow Managed Identity - Get Secret Is Potentially Interrupted,Denial Of Service,Azure Web App,Managed Identity - Get Secret,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
34,Data Store Inaccessible,Denial Of Service,Azure Web App,Managed Identity - Get Secret,High,Not Started,,An external agent prevents access to a data store on the other side of the trust boundary.,,Generated
36,Spoofing of Destination Data Store Azure Monitor/Log Analytics,Spoofing,Azure Web App,Telemetry HTTPS,High,Not Started,,Azure Monitor/Log Analytics may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of Azure Monitor/Log Analytics. Consider using a standard authentication mechanism to identify the destination data store.,,Generated
37,The Azure Monitor/Log Analytics Data Store Could Be Corrupted,Tampering,Azure Web App,Telemetry HTTPS,High,Not Started,,Data flowing across Telemetry HTTPS may be tampered with by an attacker. This may lead to corruption of Azure Monitor/Log Analytics. Ensure the integrity of the data flow to the data store.,,Generated
